compound,heusler_type,mp_id,formula,formation_energy,absolute_energy,band_gap,fermi_energy,bulk_modulus,poisson_ratio,Nv
Ni2TiGe,full,mp-961694,TiNiGe,-0.012492179444444437,-6.112044363333333,0.0,5.63597016,106.389,0.557,28
Ni2TiSn,full,mp-3740,TiNi2Sn,-0.43228060208333385,-6.29861491,0.0,9.10216642,159.419,0.393,28
Ni2TiSn,full,mp-623646,TiNiSn,0.1347682805555562,-5.76029857,0.0,6.66050826,95.54,0.53,28
Ni2TiSn,full,mp-924130,TiNiSn,-0.5294223494444452,-6.424489200000001,0.4527000000000001,7.66299415,123.819,0.265,28
Ni2TiP,full,mp-1102188,TiNiP,-1.065870581825397,-7.4295713225,0.0,9.51456789,,,29
Ni2TiP,full,mp-1177293,Li4TiCr2Ni3(PO4)6,-2.466093417613094,-7.5542148915,1.3658000000000001,2.91692348,,,29
Ni2TiP,full,mp-1044432,CaTiNi(PO4)3,-2.7533569595701053,-7.828624394166667,0.0,1.1829096,,,29
Ni2TiAs,full,mp-1102086,TiNiAs,-0.7698371327777783,-6.8850875425,0.0,8.24014169,,,29
Ni2TiSb,full,mp-10261,TiNi2Sb,-0.4026089683333334,-6.2988006225,0.0,10.0176655,137.552,0.406,29
Ni2TiSb,full,mp-20952,TiNiSb,-0.5575641111111113,-6.492440756666667,0.0,8.86156108,126.65,0.297,29
Ni2TiSb,full,mp-581712,TiNiSb,-0.10099648111111037,-6.035873126666666,0.0,6.67035444,93.894,0.642,29
Ni2VAl,full,mp-1228840,AlVNi2,-0.38574033395833496,-11.582017428958334,0.0,8.14389952,,,28
Ni2VAl,full,mp-10899,AlVNi2,-0.39258929145833577,-11.588866386458335,0.0,7.99677711,167.301,0.352,28
Ni2VAl,full,mp-961650,AlVNi,0.3579674366666647,-10.576496303333336,0.0,5.7260351,119.158,0.08,28
Ni2VGa,full,mp-30658,VGaNi2,-0.27447872146904473,-12.648425221469044,0.0,6.91626891,167.969,0.394,28
Ni2VGa,full,mp-961690,VGaNi,0.2930879651990068,-12.211601648134327,0.0,4.51454338,,,28
Ni2VGa,full,mp-1216351,VGaNi6,-0.27485251500000096,-12.452684345,0.0,7.58934961,,,28
Ni2VSi,full,mp-1095532,VSiNi,-0.596647199166668,-12.211666360833334,0.0,8.63249284,,,29
Ni2VSi,full,mp-1216307,VSiNi,-0.43484012916666853,-12.049859290833334,0.0,9.04419308,,,29
Ni2VSi,full,mp-504625,V3SiNi2,-0.3100859409166669,-12.811073625083333,0.0,7.69738953,,,29
Ni2VGe,full,mp-1095536,VNiGe,-0.33336745833333364,-6.82905766,0.0,7.97786688,,,29
Ni2VSn,full,mp-20864,VNi2Sn,-0.11478652624999963,-6.2782243475,0.0,9.42588131,122.027,0.413,29
Ni2VSn,full,mp-1221615,MnV(Ni2Sn)2,-0.14269160599137987,-6.31589308,0.0,8.88630852,,,29
Ni2VSn,full,mp-775213,VNi3Sn2(PO4)6,-2.276297751329364,-7.437148593333333,1.4981999999999998,2.36136275,,,29
Ni2VP,full,mp-1332813,MgVNiP2O9,-2.5560446683418365,-7.691461333928572,1.9890000000000003,2.68271611,,,30
Ni2VP,full,mp-646633,V2Ni(PO5)2,-2.4588555209523815,-8.078957727333334,1.5047000000000001,2.47370993,,,30
Ni2VP,full,mp-1333433,VZnNiP2O9,-2.3312849972704086,-7.440221205357143,1.9474,2.45321169,,,30
Ni2VAs,full,mp-1216333,VNi3AsO8,-1.6970574259615385,-7.136484227692308,2.6658000000000004,5.56869498,,,30
Ni2VAs,full,mp-1101976,VNiAs,-0.39703514333333345,-6.908423570833333,0.0,8.13917752,,,30
Ni2VAs,full,mp-1228018,Ba3V2Ni6(AsO6)4,-2.055291493589744,-7.084531916923077,3.1805000000000003,1.93719416,,,30
Ni2VSb,full,mp-1067900,V2NiSb,0.06088966653571504,-16.405906420964286,0.0,8.64774293,,,30
Ni2VSb,full,mp-505599,VNiSb,-0.1246844223095233,-17.383887295642857,0.0,8.0590061,142.304,0.349,30
Ni2VSb,full,mp-757444,VNi3Sb2(PO4)6,-2.227279187440475,-7.394764995277778,0.0027000000000003688,2.07336461,,,30
Ni2CrAl,full,mp-1228914,Al4CrNi15,-0.3393311669999989,-11.4257058225,0.0,8.41548781,,,29
Ni2CrAl,full,mp-10885,AlCrNi2,-0.2589189762499995,-11.701137736249999,0.0,7.83429479,160.697,0.38,29
Ni2CrAl,full,mp-1228985,AlCrNi,-0.04825331000000214,-11.310639270000003,0.0,7.82134245,,,29
Ni2CrGa,full,mp-1226319,CrGa3(NiS4)2,-0.7523876708928563,-5.281279487857143,0.0,4.61381626,,,29
Ni2CrIn,full,mp-1226434,CrInNiS4,-0.7261265630952372,-5.689811729285714,0.0,5.34859379,,,29
Ni2CrIn,full,mp-1007991,CrInNi2,0.046278841250002145,-15.35756293125,0.0,8.09004261,,,29
Ni2CrSi,full,mp-1103085,CrSiNi,-0.2654976916666669,-12.208439073333333,0.0,8.59548779,,,30
Ni2CrSi,full,mp-505629,Cr3SiNi2,-0.04732941180555391,-13.040200425972222,0.0,7.83617577,,,30
Ni2CrSi,full,mp-1221908,Mn3Cr3Si7Ni16,-0.42300217269074236,-12.22968692860632,0.0,8.28031421,,,30
Ni2CrSn,full,mp-778614,Li4Cr2Ni3Sn(PO4)6,-2.3485925491547612,-7.339566019,1.4918,3.21958211,,,30
Ni2CrSn,full,mp-1226279,CrCu4NiSn2,0.13264745750000007,-4.84849686,0.0,8.54043395,,,30
Ni2CrSn,full,mp-1221685,MnCr(Ni2Sn)2,-0.10678074974137886,-6.35112489875,0.0,8.84760418,,,30
Ni2CrP,full,mp-776777,Li4CrCo2Ni3(PO4)6,-2.275351350029762,-7.281430172750001,2.9872,1.77947624,,,31
Ni2CrP,full,mp-777498,Ti3CrNi2(PO4)6,-2.7314317721626984,-8.182736421388888,0.04949999999999921,4.35682972,,,31
Ni2CrP,full,mp-754644,CrNi3(PO4)4,-2.081827140357143,-7.410642605833334,0.0,1.86801298,,,31
Ni2CrAs,full,mp-4989,CrNiAs,-0.3350252663888903,-14.25588877888889,0.0,7.59655165,130.106,0.295,31
Ni2CrAs,full,mp-1226031,Cr5NiAs3,-0.20173996157407398,-14.809631302962963,0.0,6.9887641,,,31
Ni2CrSb,full,mp-775941,Cr2Ni3Sb(PO4)6,-2.229474618273809,-7.5662156380555565,0.0,1.99191714,,,31
Ni2CrSb,full,mp-1018161,CrNiSb,-0.015090736666666752,-17.602215830000002,0.0,7.54905214,104.241,0.306,31
Ni2CrSb,full,mp-1221891,Mn2CrNiSb2,0.14432173350574592,-17.828071660000003,0.0,6.73225489,,,31
Ni2MnAl,full,mp-1222882,LaMnAlNi3,-0.3558800121551731,-6.21988139,0.0,7.86212635,,,30
Ni2MnAl,full,mp-1221740,MnAlNi6,-0.25653153974137854,-6.20508294,0.0,8.21255872,,,30
Ni2MnAl,full,mp-4922,MnAlNi2,-0.404369411982759,-6.5213355325,0.0,7.57571564,158.539,0.352,30
Ni2MnGa,full,mp-604537,MnGaNi2,-0.4199929756206899,-12.942379212,0.0,6.79524654,,,30
Ni2MnGa,full,mp-1206407,Mn2GaNi,-0.18017857571120643,-13.377969190969829,0.0,5.76556051,,,30
Ni2MnGa,full,mp-1222026,Mn2GaNi,-0.23277269974137837,-13.430563315,0.0,5.88627765,,,30
Ni2MnIn,full,mp-22731,MnInNi2,-0.24933087744252802,-15.555670721321839,0.0,7.9551134,235.971,0.332,30
Ni2MnIn,full,mp-1188474,MnIn2NiO6,-1.7550423002931033,-6.7683708465,0.0,6.13868261,,,30
Ni2MnSi,full,mp-567353,MnSiNi,-0.33978462149425565,-12.15272343166667,0.0,8.94912829,,,31
Ni2MnSi,full,mp-1210618,Mn3SiNi,-0.3072993389612037,-13.26839649527155,0.0,8.12955273,,,31
Ni2MnSi,full,mp-20949,MnSiNi,-0.573282222327587,-12.386221032500002,0.0,8.5004566,162.799,0.274,31
Ni2MnGe,full,mp-22029,MnNi2Ge,-0.22366996823275898,-6.559999095,0.0,8.10774923,160.744,0.414,31
Ni2MnGe,full,mp-583202,MnNiGe,0.06375223735632218,-6.457974371666666,0.0,7.622324,,,31
Ni2MnGe,full,mp-21090,MnNiGe,-0.22892120764367738,-6.750647816666667,0.0,7.58967499,116.642,0.292,31
Ni2MnSn,full,mp-1221649,MnCoNiSn,-0.10784307073275912,-6.6291282075,0.0,8.32156153,,,31
Ni2MnSn,full,mp-1221332,MnNiSnPd,-0.250402450732758,-6.28330386,0.0,7.87405047,,,31
Ni2MnSn,full,mp-1221827,Mn3Ni4Sn,-0.0964245698491375,-6.92344512625,0.0,7.69369847,,,31
Ni2MnP,full,mp-773507,MnNi(PO4)2,-2.151535122823617,-7.600802523055555,0.0,1.1258684,,,32
Ni2MnP,full,mp-780130,Mn3Cu2Ni(PO4)6,-2.1223373961569507,-7.478219795833334,0.0,1.52447575,,,32
Ni2MnP,full,mp-1043125,CaMnNiP2O9,-2.504297444086909,-7.67208833017857,0.02619999999999978,2.44903685,,,32
Ni2MnAs,full,mp-1103634,MnNiAs,-0.24535913097701112,-6.782783965833333,0.0,7.56659222,,,32
Ni2MnAs,full,mp-1079845,MnNiAs,-0.2528805040325671,-6.7903053388888885,0.0,7.18998564,,,32
Ni2MnAs,full,mp-510613,MnNiAs,3.540748798189655,-2.996676036666667,0.0,-2.22140227,,,32
Ni2MnSb,full,mp-776222,Mn2Ni3Sb(PO4)6,-2.1898103689922,-7.499271823333334,0.0,1.41257122,,,32
Ni2MnSb,full,mp-22541,MnNiSb,-0.10632490149424949,-17.563447423333333,0.0,7.09919181,98.538,0.497,32
Ni2MnSb,full,mp-5124,MnNi2Sb,-0.2664577769540202,-16.354728958333332,0.0,9.37081215,137.829,0.434,32
Rh2TiAl,full,mp-866153,TiAlRh2,-0.9830098508333336,-7.5754307475000005,0.0,8.01301471,194.292,0.551,25
Rh2TiAl,full,mp-1194450,Ti6Al16Rh7,-0.7392818303448282,-6.216948053448276,0.0,7.30201742,,,25
Rh2TiAl,full,mp-1217136,Ti8Al15Rh7,-0.7718418018888874,-6.468432757666665,0.0,7.39068862,,,25
Rh2TiGa,full,mp-567679,TiGaRh,-0.16754120694444433,-6.26350651,0.0,4.68621765,127.691,0.666,25
Rh2TiGa,full,mp-866157,TiGaRh2,-0.8438889402083269,-7.256939884999994,0.0,7.11664792,193.396,0.776,25
Rh2TiGa,full,mp-1193834,Ti6Ga16Rh7,-0.5474992903448281,-5.6293145851724145,0.0,5.27841848,,,25
Rh2TiIn,full,mp-866170,TiInRh2,-0.6416888299999997,-6.987509205,0.0,8.35398611,174.523,-0.516,25
Rh2TiIn,full,mp-11073,Ti3In3Rh2,-0.45657269999999883,-6.2931493275,0.0,7.89845481,123.289,0.299,25
Rh2TiSi,full,mp-672645,TiSiRh,-0.9466052852777752,-7.84164459083333,0.0,7.74143279,187.886,0.295,26
Rh2TiGe,full,mp-1208205,TiGeRh,-0.7800290711111096,-7.4076383183333325,0.0,7.35087202,,,26
Rh2TiGe,full,mp-1093752,TiGeRh2,2.0445452104166666,-4.7672386925,0.0,-3.47216427,,,26
Rh2TiGe,full,mp-1187497,TiGeRh2,-0.6619620020833334,-7.473745905,0.0,8.07777608,,,26
Rh2TiSn,full,mp-1206684,TiSnRh,-0.11759556277777723,-6.540719476666666,0.0,6.41058906,,,26
Rh2TiSn,full,mp-1216641,TiSnRh,-0.5513264027777751,-6.9744503166666645,0.0,6.62252043,,,26
Rh2TiSn,full,mp-865707,TiSnRh2,-0.6565809620833329,-7.315000865,0.0,8.65625398,179.322,0.711,26
Rh2TiAs,full,mp-961718,TiAsRh,-0.42897138694444453,-7.07227886,0.0,5.79307506,128.349,0.53,27
Rh2TiAs,full,mp-505540,TiAsRh,-0.8726296427777788,-7.515937115833334,0.0,7.58630633,176.642,0.311,27
Rh2TiSb,full,mp-1206908,TiSbRh,-0.3375654511111108,-6.80049916,0.0,6.79826425,,,27
Rh2TiSb,full,mp-16687,Ti5Sb2Rh,-0.5150107220833338,-7.40248202625,0.0,7.63382948,,,27
Rh2VSi,full,mp-1100414,VSiRh,-0.5716531722672684,-16.23817615726727,0.24910000000000032,6.32101666,,,27
Rh2VGe,full,mp-1100423,VGeRh,-0.07689229500000039,-7.10063956,0.0,5.94619693,,,27
Rh2VSn,full,mp-1100421,VSnRh,-0.2764537216666672,-7.095715653333333,0.39449999999999985,6.7272872,,,27
Rh2VSn,full,mp-1178762,VSnRh2,-0.34401666624999905,-7.2995400825,0.0,8.22640403,,,27
Rh2VSn,full,mp-669918,VSnRh2,-0.41370266124999855,-7.3692260775,0.0,8.35323757,187.018,0.317,27
Rh2VAs,full,mp-20395,VAsRh,-0.5563890249999991,-18.200834140833333,0.0,7.52935516,183.377,0.317,28
