compound,type,mp_id,Nv,magnetic_moment,lattice_constant
Co2NiSn,inverse,mp-1226203,32,,5.3848
Co2NiSn,inverse,mp-20237,32,,5.3848
CoFeTiSb,quaternary,mp-998973,26,2.0,
CoFeCrAl,quaternary,mp-1228949,26,1.97,
CoFeCrSi,quaternary,mp-1213726,27,3.0,
CoFeMnAl,quaternary,mp-1221633,27,3.0,
CoFeMnGa,quaternary,mp-999552,27,3.0,
CoFeMnGe,quaternary,mp-1018024,28,4.0,
CoFeVAl,quaternary,mp-1008530,25,0.96,
CoFeVGa,quaternary,mp-1066581,25,0.98,
CoFeVGa,quaternary,mp-1216459,25,0.98,
CoFeVSi,quaternary,mp-1066609,26,1.96,
CoFeVGe,quaternary,mp-1063914,26,3.0,
CoFeVAs,quaternary,mp-1066006,27,3.0,
CoMnCrSi,quaternary,mp-1221846,26,2.0,
CoMnCrGe,quaternary,mp-1222067,26,2.0,
CoCuMnSn,quaternary,mp-1221637,31,4.05,
MnNiCuSb,quaternary,mp-1221889,33,3.85,
NiCuMnSn,quaternary,mp-1221630,32,4.2,
NiCuMnSb,quaternary,mp-1221889,33,3.99,
NiCoMnGe,quaternary,mp-1222036,30,4.93,
CuCoMnSn,quaternary,mp-1221637,31,3.561,
CuNiMnSn,quaternary,mp-1221630,32,0.93,
